label,text_stripped
1f605,  움찔 수염이 바짝 곤두선다 따 따딱히 맘에 들어서 가져왔다기보단 그냥 치워주려고 했는데 자꾸 쳐다보게 되서 요 미안해요 버리는 건 줄 알았습니다만 원래 사용할 목적이 있다면 가져가도 좋답니다
1f3a7, 정말 수고했어요  
1f61e,오늘 꿈에서 여행을갔는데 거기서 아이패드를 깨먹었다 넘나 처참하게 나 어제 패드케이스 주문했는데 왜 그런 꿈을 꾼거야 
1f440,앗 많이는 안자르셨네요  제가 눈썰미가 없는건가 
1f64f,   어제저녁종대시 챙겨주셔서 감사했어요 전어제종대와 기분좋은 외출을하고 돌아왔었어요 눈뜨시고 이쁜종대보시면서 오늘하루도 행복함 가득하시길 바라요 
1f601,투마링님도 새해 복 마니마니마니 받으세요 사진 너무 잘 보고있어요 
1f623,엇 반모버스 아까 출발했는데 반모 타임머신타죠 뭐  그래서 구구님은 몇살 
1f60b,헐 그럼 더 이뿌게 이쁜 겸딩 규리 
1f498, 39 윤기시  윤기 얼굴 못본 지 참 오래된 것 같아 너무너무 보고싶어 사랑해 민윤기 
1f64a,성우님들 완전 잘생겼어 사쿠마레성우님 진짜 잘생겼네ㅠㅠㅜㅜㅜㅠ
1f495,         생일 축하해 우리 재범아ㅏㅏㅏ 행북하자 소원을 비세요 사랑해용 
1f622,넵 
1f495,아니예요 히나님는 존잘님 존잘님 
1f44d,이거 우리집앞 홈플러스에서 99원에 2통 속안에 두봉지로 포장되어있구 하난 그냥 생초코 하난 안에 크런치같은게 들어있돠 결론은 뫄이촤 
1f605,16722 뮤뱅 막방 매니저    갤러리 보니 올리고 싶어짐 
1f603,팀 무지개분들 껄로 봤어요 더빙 잘해주셔서 진짜 몰입잘됬었어요 
1f602,안녕하세요계이를 이제본 지각자입니다 
1f496,ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ알게쬬 널널하게 짜놔야게따 
1f44c,면끼3 
1f64f,오늘도 화이팅해서 즐겁게 보내자  좋은 꿈 꿨길 
1f44f,    동생 대박나라 
1f629,화장으로도 안가려지는 내꺼같은 다크써클 다크써클 이모티콘 없네 아쉽
1f604,1713 유럽투어 밀라노 하이터치  밀라노란 도시는 참으로 좋은곳       
1f496,              2
1f610, 쩌 쩐다
1f60c, 안녕하세요 베스타라님 트친소 마음 고맙습니다 인사드리러 왔어요 잘못 누르신게 아니라면 팔로드려도 될까요 
1f610,현실셰계에서는 블락안당하도록 조심해야겠죠근데 너무 튀어나와버린건가 너무 걱정됨ㅁ 
1f60b,뮤튼 1열대에요 친하게 지내요 
1f604,아 글쿤요 도화님 앞으로 잘부탁드리고 늦은감이 있지만 새해 복 많이 받으세요 
1f499,흥엥부끄러워 누나 츄야인장ㅇ이 더 예뻐 
1f602,유스님 팩트로 승부하시면 어떡해요 반박을 못하겠잖아요쟈가운현실산다해도 썩힐것같아서연습용 타블렛 하나 사야겠어요 다른건 몰라도 채색을 너무 못해서 
1f614,헐 나 갈껄 그때 싸서 갈까 했는데 갈껄 언니두 만나구 그럴껄 
1f440, 핔핔핔님 진심으로 생일 축하해영 어젠 농담으로 추노를 찍겠다 하였찌만 원고 때문에 몸 축나지 않게 꼭 건강 챙기시그영 오늘 하루 스찌 손키스의 가호를 받아 행복 듬뿍듬뿍한 생일 되시어요 ㅆㅏㄹㅏㅎㅐ요 
1f60d,헉 진짜진짜 감사합니다 딩모님은 천사에요 
1f615,2살이나 먹어서 말 하는 수준이 
270c,니엘시  니에라 많이 좋아해  
1f49c,   단독 에프엑스 크리스탈 8년만에 첫 솔로활동 꺄르륵 382532564
1f612,겨울 가기 전에 홍콩 갔다 올까 원래 겨울엔 여행병 안 나는데 
1f62b,저거ㅋㅋㅋㅋ생각보다 만들기 엄청 쉬워요 너무쉬워서 설명드리기도 민망 오 저두 가방 만들어보고싶네요 
1f60c,아 쿈 넨도로이드는 금요일에 온다고 
1f64c, 땅콩넴 안뇨앗세요 트친소로 찾아왔눈디 앞으루 잘 부탁드릴게효 실수시라면 스루해주세용
1f618,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저보다 제 이름을 더 많이 부르시는거 같다궄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ조아요 집에 밥이랑 계란이랑 양파 있으니까 꼭주부9단 햄을 사와야해요 
1f633,우와 낙서라더니 낙서 수준이 아닌데요 엄청난 재능을 가지고 있었군요 무지 멋져요 프로필 사진으로 걸고 싶을 만큼요 
1f4aa,이번주만 고생하면 마감은 끝이납니다 조금만 더 힘내기 
1f609,아진자너무기여움 저장해서 유용하게써야겟어요 
1f498,정대현 
1f62b,아귀여 진짜 귀여워 
1f496,위의 문장 다 담요님께 은근하게 드리는 제 마음 
1f4aa,댜루스님도 좋은 밤 되시구 작업 술술 풀리길 바랍니다 
1f62d,저는 그 거기서 죽엇다구요 콩군이 손 붙잡고 변태지 그치이 하면서 어르는 듯한 말투로 말하는 거기요 
1f44d,허억 감쟈리마이실때 한번 더 보고 싶었는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이쪽 아우리마도 잘생겼네요ㅇㅇ 
1f52b,헉 저도 둔비 못했는데ㅜㅠㅠㅠㅠㅠㅠㅜㅠㅠㅜ 오열힝 유화 이쁜것ㅎㅎㅎㅎ 217년 별탈 없는 행복한 한해가 되셨으면 좋겠습니다 저도 잘 부탁드리고 싸랑해요 
1f44a,빨리내뤄 
1f44f,  1713     동생 대박나라    
1f4aa,  오빠들 수고하셨습니다 동생들이 오지 않은 것은 유감이지만 217년 그룹도 개인활동도 화이팅 8일에 만나요 
1f621,신칸센 지연 너무하네 
1f618,ㅋㄱㅌㅋㄱㅋㄱㅋ귀여우셔 ㅜㅜㅜㅜ 다긔님ㅇ새해복많이받으셔요 
1f618, 재범아 
1f616,항상 고마워 
1f604,헉 당연하져 넘기뻐여잘부탁드립니다
1f601,좋아우슴이로 
1f620,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 
1f621,마자 ㅋㅋㅋㅋ 박카스 필요없어여 집에 보내죠 
1f621,얼른 한국가고싶다 
1f60e,졸린데 난 또 왜 아직 안자고 있는가 렛츠 트라이 잠들기 꿋나있
1f60c,후훟흐ㅜ 진짜 이번엔 제일먼저가서 손도 꼬오옥 잡구 껴안고  헤헤헤헤ㅔ 연외님 넘 사랑스러운 사람 
1f629,세금정산 
1f64f,우리 케미님 2시 반 안에는 잠들 수 있기를 
1f618,온니 난 이제 잘께 수업파이팅 
1f49c,수정이 솔로 나오면 묵혀둔 캡쳐능력 꺼내서 보정도 하꾸야 ㅜㅜ 
1f44c,      도와드립니다  4 카톡 1 
1f3a7,아직도 텅텅 빈 무대에 섰을 때    
1f60c,망고님 정말 성하병이다ㅋㅋㅋㅋㅋ 상목이 넘 조치요 상목성하 쩔친 먹은 거 귀여워여
1f60b,난 술대신 사이다로ㅋㅋㅋ 언니는 조켔댬 지금시간에 까까도 먹구 
1f604,나는 완전 어둡거나 완전 밝아야 잠들 수 있다 미묘한빛은 오히려 잠을 날리는데 저놈의 고양이 때문에 잘수가 없다 
1f611,무슨생각인걸까요 
1f60d,오빠 
1f603,거누랑 시작해눈 앛침 
1f629,자격증이라곤 1도 없는 나 
1f498, 사랑하는 기택이 오늘은 오랜만에 올해 첫 요가 갔어요 요가는 기분 좋았지만 이제 요가를 시작한 9년째이에요 싫증을 잘 내는 내가 유일하게 계속되고 있어 잘자 기택이 사랑해 마키 
1f601,허억 네네  매우 물렁물렁하니 편하게 찔러주셔요 
1f60c,앗 기여운 아이스베어 이불벌레 별님 돌돌 ㅋㅌㅌㅋㅋㅋㅋㅋ예쁜꿈도 꾸시고 내일 일도 휙휙 잘 마치실거예요 자장자장 해드려야지 자장자장 
1f62b,우효 양키큥 너무해 액운 쫓으려 소금 뿌리는것두 아니구
2764,   오늘 날씨가 꽤 포근해요 그래도 옷 꼭 따뜻하게 입고 다니시고 좋은 하루 보내세요 오늘도 많이 좋아해요 
1f499,청하시 
1f52b,아 오늘도 벽 뿌수고싶다 그리고 내일 아침에 티저가 뜨면 
1f601,저는 일어난지 얼마되지않아 
1f634, 그쵸 그냥 한살 더 먹으면 되지 내가 죽을 때까지 18살 될거야 아니야 24 아니 26 나이는 단지 숫자이지 그 좋은 생각으로 잘자 쭝아 
